"","book_id","literariness_read","gender","author","title","avg_sentence_length","sentence_length_variance"
"1",2,5.49585406301824,"male","Zwagerman, Joost","Duel",12.9347,10.1901
"2",4,5.51048951048951,"male","Abdolah, Kader","De kraai",12.3964,7.4167
"3",6,5.8258785942492,"male","Lanoye, Tom","Heldere hemel",11.1145,8.513
"4",11,5.84426229508197,"male","Buwalda, Peter","Bonita Avenue",14.2836,12.0533
"5",12,5.08507670850767,"male","Koch, Herman","Zomerhuis met zwembad",10.2565,7.231
"6",17,3.5045871559633,"male","Kluun","Haantjes",12.1388,8.8754
"7",28,6.28515625,"male","Heijden, A.F.Th van der","Tonio",13.6133,9.3659
"8",32,5.35585042219542,"female","Treur, Franca","Dorsvloer vol confetti",14.2215,10.2246
"9",33,5.11550888529887,"male","Koch, Herman","Het diner",13.9447,10.7782
"10",34,6.11312849162011,"male","Japin, Arthur","Vaslav",17.1769,12.9249
"11",36,4.20461095100865,"female","Verhoef, Esther","Tegenlicht",10.7652,8.0116
"12",43,6.07223796033994,"male","Dis, Adriaan van","Tikkop",9.8412,7.0252
"13",45,4.45744680851064,"male","Vuijsje, Robert","Alleen maar nette mensen",9.4781,7.3247
"14",48,4.7452380952381,"male","Ravelli","De Vliegenvanger",12.061,7.9616
"15",52,5.81196581196581,"female","Enquist, Anna","De verdovers",10.1219,6.8849
"16",75,4.06292134831461,"female","Spijker, Rita","Tussen zussen",9.4541,5.6147
"17",77,6.15855855855856,"male","Grunberg, Arnon","Huid en haar",10.3095,7.729
"18",92,5.86124401913876,"female","Moor, Marente de","De Nederlandse maagd",12.4148,8.4884
"19",99,5.93540051679587,"male","Siebelink, Jan","Het lichaam van Clara",10.0062,7.0936
"20",105,5.83663366336634,"male","Abdolah, Kader","De koning",13.9118,8.1673
"21",110,4.97654941373534,"female","Dorrestein, Renate","De leesclub",13.4346,9.6761
"22",116,4.73208722741433,"male","Kwast, Ernest van der","Mama Tandoori",11.3659,6.8331
"23",122,5.46555323590814,"male","Winter, Leon de","VSV of daden van onbaatzuchtigheid",10.3292,8.1709
"24",131,4.78823529411765,"male","Dijkshoorn, Nico","Nooit ziek geweest",8.4368,5.7631
"25",133,3.17972350230415,"female","Royen, Heleen van","De mannentester",11.3684,7.9092
"26",136,3.0468085106383,"female","Sambeek, Ciel van","Bloed zaad en tranen",11.1152,7.0074
"27",137,5.66468253968254,"female","Durlacher, Jessica","De held",12.4773,9.7943
"28",153,4.95642701525054,"female","Smit, Susan","Vloed",15.0388,8.8886
"29",154,4.85807860262009,"female","Vlugt, Simone van der","Jacoba, Dochter van Holland",13.147,7.3108
"30",163,5.53131749460043,"female","Dorrestein, Renate","De stiefmoeder",11.5823,8.532
"31",164,4.29338842975207,"male","Launspach, Rik","1953",13.4403,9.4895
"32",166,6.11130136986301,"male","Grunberg, Arnon","De man zonder ziekte",10.9202,7.3776
"33",173,5.11324041811847,"female","Zwaan, Josha","Parnassia",10.0711,6.2597
"34",182,5.34042553191489,"male","Giphart, Ronald","IJsland",12.8822,9.6572
"35",185,5.76338514680484,"male","Beijnum, Kees van","Een soort familie",18.5231,13.8265
"36",187,3.96987951807229,"female","Hollander, Loes den","De kat op zolder",12.5334,7.7101
"37",200,6.0531561461794,"male","Voskuil, J.J.","De buurman",10.5215,8.1821
"38",209,4.22651933701657,"female","Dijkzeul, Lieneke","Gouden bergen",11.9684,9.046
"39",212,6.16851168511685,"male","Japin, Arthur","De overgave",15.308,11.3345
"40",213,3.5364238410596,"female","Bezaz, Naima El","Vinexvrouwen",10.3545,6.9166
"41",215,6.20282413350449,"male","Wieringa, Tommy","Caesarion",11.099,8.2048
"42",217,6.1640625,"male","Rosenboom, Thomas","Mechanica",18.5324,14.4834
"43",221,5.89722675367047,"female","Moor, Margriet de","De schilder en het meisje",15.9127,12.103
"44",229,6.60246913580247,"male","Mortier, Erwin","Godenslaap",19.4653,16.9579
"45",239,6.37276478679505,"male","Lanoye, Tom","Sprakeloos",14.3443,13.3053
"46",240,6.16521739130435,"male","Rosenboom, Thomas","Zoete mond",18.9832,15.6898
"47",248,3.05970149253731,"male","Smeets, Mart","De afrekening",14.1887,9.8696
"48",250,3.92125984251969,"female","Hollander, Loes den","Het scherventapijt",10.7442,6.6693
"49",256,5.86245353159851,"male","Hart, Maarten 't","Verlovingstijd",14.254,11.4009
"50",264,6.26462765957447,"male","Enter, Stephan","Grip",16.3422,12.889
"51",274,5.01680672268908,"female","Meer, Vonne van der","Het zingen, het water, de peen",14.327,9.6563
"52",283,5.75268817204301,"male","Winter, Leon de","Recht op terugkeer",12.7542,10.7465
"53",299,5.82238010657194,"male","Verhulst, Dimitri","De laatste liefde van mijn moeder",16.5062,12.795
"54",300,5.81196581196581,"male","Siebelink, Jan","Oscar",11.0254,7.7384
"55",302,6.18867924528302,"male","Bakker, Gerbrand","De omweg",11.952,8.3779
"56",304,4.64705882352941,"male","Giphart, Ronald","Zeven jaar goede seks",14.5446,12.8555
"57",309,6.54086956521739,"male","Mortier, Erwin","Gestameld liedboek",13.9075,10.103
"58",311,3.78756476683938,"male","Worthy, James","James Worthy",11.4959,7.7836
"59",313,5.95305164319249,"male","Springer, F.","Quadriga",15.05,11.8057
"60",314,6.125,"male","Grunberg, Arnon","Selmonosky's droom",14.6221,10.9404
"61",319,5.34892787524366,"female","Meer, Vonne van der","De vrouw met de sleutel",12.3634,7.834
"62",321,5.33060556464812,"male","Campert, Remco","Dagboek van een poes",12.1812,6.9802
"63",322,5.97597597597598,"male","Dewulf, Bernard","Kleine dagen",8.4294,5.708
"64",334,3.36170212765957,"female","Royen, Heleen van","Sabine",8.3333,5.8991
"65",336,6.0325,"male","Japin, Arthur","Dooi",8.777,6.068
"66",339,3.12144702842377,"female","Sambeek, Ciel van","Koninginnenrit",11.5702,7.0695
"67",341,5.67375886524823,"female","Loo, Tessa de","De grote moeder",13.743,9.3904
"68",346,4.96907216494845,"male","Scholten, Jaap","Kameraad Baron",14.6629,9.4088
"69",356,5.49397590361446,"female","Dorrestein, Renate","De zondagmiddagauto",13.6936,8.5075
"70",364,6.24557956777996,"male","Bernlef, J.","Geleende levens",12.2831,7.8481
"71",366,5.09859154929577,"male","Galen, Alex van","Süskind",10.6431,6.1973
"72",372,6.09291338582677,"male","Brijs, Stefan","Post voor mevrouw Bromley",12.5605,9.1762
"73",377,6.08947368421053,"male","Thomése, P.F.","De weldoener",12.8133,9.2684
"74",392,6.1419624217119,"male","Bernlef, J.","De een zijn dood",11.3711,7.476
